DATE,Base: Currency in Circulation ($ Mil),Balance Sheet: Total Assets ($ Mil),Effective Federal Funds Rate,Adj Close
2003-03-31,683.413,723651.25,1.2529032258064512,848.1799926757812
2003-04-30,687.0554000000001,736926.4,1.258,916.9199829101562
2003-05-31,690.52125,738358.0,1.2590322580645164,0.0
2003-06-30,691.9535000000001,738711.75,1.2226666666666663,974.5
2003-07-31,694.257,741656.2,1.011290322580645,990.3099975585938
2003-08-31,694.6965,740216.5,1.0290322580645161,0.0
2003-09-30,697.699,743206.75,1.01,995.969970703125
2003-10-31,700.7062,747068.4,1.01,1050.7099609375
2003-11-30,706.3052500000001,747801.25,0.9960000000000004,0.0
2003-12-31,716.1912,759809.6,0.9841935483870968,1111.9200439453125
2004-01-31,713.752,759938.25,0.9970967741935485,0.0
2004-02-29,713.24975,753644.25,1.0072413793103445,0.0
2004-03-31,713.9232,755538.0,1.0016129032258063,1126.2099609375
2004-04-30,716.7782500000001,762182.0,1.0039999999999998,1107.300048828125
2004-05-31,719.67925,762913.75,1.004516129032258,0.0
2004-06-30,726.4372,770590.0,1.0256666666666667,1140.8399658203125
2004-07-31,734.8275000000001,776094.75,1.263548387096774,0.0
2004-08-31,734.6199999999999,771095.5,1.4293548387096775,1104.239990234375
2004-09-30,738.1492000000001,786291.4,1.6049999999999995,1114.5799560546875
2004-10-31,740.8165,788387.5,1.7609677419354837,0.0
2004-11-30,746.58125,798767.75,1.9320000000000002,1173.8199462890625
2004-12-31,753.3954,808972.6,2.156129032258064,1211.9200439453125
2005-01-31,750.1970000000001,807094.75,2.279354838709677,1181.27001953125
2005-02-28,750.3897499999999,800556.75,2.501785714285714,1203.5999755859375
2005-03-31,752.0834,802471.6,2.6290322580645156,1180.5899658203125
2005-04-30,753.6600000000001,803656.0,2.7849999999999997,0.0
2005-05-31,754.1845,805624.0,3.0025806451612915,1191.5
2005-06-30,759.9958,812643.2,3.035666666666666,1191.3299560546875
2005-07-31,763.84725,815370.0,3.2625806451612904,0.0
2005-08-31,763.3474,815141.8,3.4996774193548394,1220.3299560546875
2005-09-30,767.94025,820696.75,3.6230000000000007,1228.81005859375
2005-10-31,768.8135,819207.25,3.779354838709678,1207.010009765625
2005-11-30,774.6191999999999,826201.6,3.999,1249.47998046875
2005-12-31,783.3365,840054.25,4.157096774193548,0.0
