Date,LMT,MKT-RF,SMB,HML,RF
2017-02,0.067984461,-64.81366814,-2.04,-1.67,3.335876602
2017-03,0.00382618,-0.772026874,1.13,-3.33,-2.191733128
2017-04,0.006913395,-0.096423039,0.72,-2.13,-1.159302543
2017-05,0.050085522,-4.795405858,-2.52,-3.75,4.055969773
2017-06,-0.012521106,-1.496398702,2.23,1.49,-2.23066841
2017-07,0.052303661,-1.960113978,-1.46,-0.22,-1.181043665
2017-08,0.051601722,-6.046339867,-1.65,-2.07,3.749999954
2017-09,0.016045015,-1.095621885,4.45,3.09,-0.901960782
2017-10,-0.00686446,0.573246779,-1.93,0.22,-1.421052693
2017-11,0.042063284,1.431686447,-0.56,-0.05,-0.3975003
2017-12,0.006048036,-57.71268875,-1.32,0.03,53.59752828
2018-01,0.105279479,-2.281127738,-3.18,-1.36,-1.224122204
2018-02,-0.001214285,-5.569739177,0.26,-1.03,2.466429349
2018-03,-0.041170362,0.647004929,4.06,-0.23,-1.779163606
2018-04,-0.050572363,1.263186538,1.1,0.48,0.13929693
2018-05,-0.013490149,2.452517756,5.31,-3.13,-2.829742678
2018-06,-0.06075576,-0.259323739,1.13,-2.33,-1.62731872
2018-07,0.103814978,-1.584736003,-2.25,0.45,-1.261904768
2018-08,-0.011304611,-3.096989769,1.14,-3.98,1.914589354
2018-09,0.079741237,4.989590833,-2.3,-1.7,-1.409256697
2018-10,-0.150624163,-2.537666852,-4.82,3.43,4.523048581
2018-11,0.029884282,-0.021297699,-0.68,0.26,-2.154740704
2018-12,-0.12844925,-0.973049263,-2.42,-1.9,-1.298462868
2019-01,0.106362755,-2.249182882,2.9,-0.44,-0.260090376
2019-02,0.075767506,2.282886422,2.04,-2.68,-3.55291289
2019-03,-0.029895709,0.289269007,-2.98,-4.05,-1.041025638
2019-04,0.110507432,-4.388947115,-1.74,2.17,1.585417018
2019-05,0.022206694,-1.289114129,-1.34,-2.37,-4.83722783
2019-06,0.073846601,-0.884747884,0.25,-0.71,-1.378832427
2019-07,-0.003768772,-2.384735262,-1.94,0.42,0.986696154
2019-08,0.066683856,8.428932391,-2.32,-4.95,-8.845145164
2019-09,0.015490247,-0.48191332,-0.97,6.83,-1.642636126
2019-10,-0.034302292,0.767748566,0.28,-1.93,-1.671758262
2019-11,0.044454322,3.412230052,0.8,-2.02,-0.517136269
2019-12,-0.004219629,3.945299903,0.72,1.79,-5.347381025
