Date,LMT
2010-04-30,0.020067679710241926
2010-05-31,-0.05104841974023433
2010-06-30,-0.0678177991539951
2010-07-31,0.008724974766892046
2010-08-31,-0.06678168379978222
2010-09-30,0.02531660866683061
2010-10-31,0.0001401948258341612
2010-11-30,-0.035069611161975045
2010-12-31,0.02748361818680567
2011-01-31,0.13860697676782796
2011-02-28,0.0038579408555743377
2011-03-31,0.015664660787159557
2011-04-30,-0.014303262660036675
2011-05-31,-0.007459703666092832
2011-06-30,0.039409539908989544
2011-07-31,-0.06471524961613295
2011-08-31,-0.010314592376142184
2011-09-30,-0.02089241721172297
2011-10-31,0.04487929686609271
2011-11-30,0.04301629079685454
2011-12-31,0.03518881392020168
2012-01-31,0.017552317020646635
2012-02-29,0.08612753201059387
2012-03-31,0.01640065377047617
2012-04-30,0.00756745783200663
2012-05-31,-0.07442356672439543
2012-06-30,0.051690915484343014
2012-07-31,0.02514877242170921
2012-08-31,0.032177444871132055
2012-09-30,0.02457731208934022
2012-10-31,0.0031056469967731815
2012-11-30,0.008426194101047724
2012-12-31,-0.010825192508457815
2013-01-31,-0.05872774318132612
2013-02-28,0.026530625408015984
2013-03-31,0.09681806033561013
2013-04-30,0.026626420538824025
2013-05-31,0.07958904733383054
2013-06-30,0.024850794352839545
2013-07-31,0.10750509510716588
2013-08-31,0.02874233665628423
2013-09-30,0.04190495221589008
2013-10-31,0.04539408354431074
2013-11-30,0.07244217746070314
2013-12-31,0.04933995630430754
2014-01-31,0.01513511470815998
2014-02-28,0.08444324563046313
2014-03-31,0.0057914282129207795
2014-04-30,0.00551392838858944
2014-05-31,0.005262657317576469
2014-06-30,-0.01784324619026334
2014-07-31,0.03882299257761579
2014-08-31,0.050015298842472244
2014-09-30,0.05045917103420483
2014-10-31,0.042619760940459495
2014-11-30,0.013250510399960946
2014-12-31,0.005272746905628178
2015-01-31,-0.021810464166966193
2015-02-28,0.06983899391552395
2015-03-31,0.014546399039041757
2015-04-30,-0.08060681036499484
2015-05-31,0.016542967710122314
2015-06-30,-0.012221031118891279
2015-07-31,0.11404001674709718
2015-08-31,-0.0214401391660628
2015-09-30,0.030470052741436993
2015-10-31,0.06039268750139071
2015-11-30,0.004291065390911841
2015-12-31,-0.00917163984269509
2016-01-31,-0.028321168828215892
2016-02-29,0.03042863422905584
2016-03-31,0.026460750953953394
2016-04-30,0.04911987732345091
2016-05-31,0.023559593059614414
2016-06-30,0.050543898431686385
2016-07-31,0.018374546466562336
2016-08-31,-0.03208096828832918
2016-09-30,-0.013376264452361952
2016-10-31,0.027782735763378197
2016-11-30,0.08400760993347589
2016-12-31,-0.05771905837672142
2017-01-31,0.005561290969404942
2017-02-28,0.06798446051146945
2017-03-31,0.0038261798758922883
2017-04-30,0.006913395449965609
2017-05-31,0.050085522154055706
2017-06-30,-0.012521105777596575
2017-07-31,0.05230366140267528
2017-08-31,0.05160172239747718
2017-09-30,0.016045014795767365
2017-10-31,-0.006864460178430232
2017-11-30,0.04206328363484091
2017-12-31,0.006048035913933436
2018-01-31,0.10527947881488275
2018-02-28,-0.0012142847721162697
2018-03-31,-0.04117036184314815
2018-04-30,-0.0505723630992444
2018-05-31,-0.013490148705497806
2018-06-30,-0.06075576015893103
2018-07-31,0.10381497793027128
2018-08-31,-0.011304611163597267
2018-09-30,0.07974123712830039
2018-10-31,-0.15062416338713447
2018-11-30,0.02988428207477445
2018-12-31,-0.12844924979793937
2019-01-31,0.10636275502915415
2019-02-28,0.07576750588584913
2019-03-31,-0.02989570859286106
2019-04-30,0.1105074321990529
2019-05-31,0.022206694391220028
2019-06-30,0.07384660120430375
2019-07-31,-0.0037687721194378243
2019-08-31,0.06668385593206083
2019-09-30,0.015490247076777486
2019-10-31,-0.03430229164096388
2019-11-30,0.044454322084098497
2019-12-31,-0.004219629318663709
